project_id,user_id,title,role,status,duration_days,tech_stack,start_date
p_00114,u_0027,Project 114,Full-Stack Engineer,completed,76,Redis,2025-11-24
p_00115,u_0027,Project 115,Full-Stack Engineer,completed,74,Kubernetes,2025-11-30
p_00116,u_0027,Project 116,Full-Stack Engineer,in_progress,71,MongoDB,2025-06-14
p_00117,u_0028,Project 117,ML Engineer,completed,64,SQL,2025-03-25
p_00118,u_0028,Project 118,ML Engineer,in_progress,23,TypeScript,2024-11-18
p_00119,u_0028,Project 119,ML Engineer,completed,103,FastAPI,2025-10-24
p_00120,u_0029,Project 120,DevOps Engineer,completed,101,Kubernetes,2024-10-16
p_00121,u_0029,Project 121,DevOps Engineer,completed,67,REST APIs,2026-03-25
p_00122,u_0029,Project 122,DevOps Engineer,completed,38,Docker,2024-06-25
p_00123,u_0029,Project 123,DevOps Engineer,in_progress,43,Redis,2026-03-25
p_00124,u_0029,Project 124,DevOps Engineer,completed,88,PostgreSQL,2026-03-26
p_00125,u_0029,Project 125,DevOps Engineer,completed,76,Node.js,2025-11-27
p_00126,u_0030,Project 126,Full-Stack Engineer,completed,115,System Design,2024-11-25
p_00127,u_0030,Project 127,Full-Stack Engineer,completed,43,Microservices,2025-06-18
p_00128,u_0030,Project 128,Full-Stack Engineer,in_progress,112,React,2024-11-01
p_00129,u_0030,Project 129,Full-Stack Engineer,completed,72,SQL,2026-02-26
p_00130,u_0030,Project 130,Full-Stack Engineer,in_progress,105,Kubernetes,2025-03-22
p_00131,u_0030,Project 131,Full-Stack Engineer,completed,36,FastAPI,2024-11-15
p_00132,u_0031,Project 132,DevOps Engineer,completed,70,GraphQL,2025-06-16
p_00133,u_0032,Project 133,Backend Engineer,completed,58,FastAPI,2025-06-19
p_00134,u_0032,Project 134,Backend Engineer,completed,34,Kubernetes,2025-04-07
p_00135,u_0032,Project 135,Backend Engineer,completed,17,Unit Testing,2025-10-27
p_00136,u_0032,Project 136,Backend Engineer,completed,72,PostgreSQL,2024-11-09
p_00137,u_0033,Project 137,Backend Engineer,in_progress,110,Node.js,2024-10-31
p_00138,u_0033,Project 138,Backend Engineer,completed,107,REST APIs,2025-05-15
p_00139,u_0033,Project 139,Backend Engineer,completed,107,Microservices,2024-07-14
p_00140,u_0033,Project 140,Backend Engineer,completed,84,TypeScript,2025-04-14
p_00141,u_0033,Project 141,Backend Engineer,completed,93,Git,2025-09-02
p_00142,u_0033,Project 142,Backend Engineer,completed,55,React,2026-02-15
p_00143,u_0033,Project 143,Backend Engineer,completed,88,Redis,2025-01-16
p_00144,u_0034,Project 144,ML Engineer,completed,71,Docker,2025-11-09
p_00145,u_0034,Project 145,ML Engineer,completed,76,PostgreSQL,2026-02-10
p_00146,u_0034,Project 146,ML Engineer,completed,21,CI/CD,2025-07-15
p_00147,u_0034,Project 147,ML Engineer,completed,68,CI/CD,2025-07-03
p_00148,u_0034,Project 148,ML Engineer,completed,50,CI/CD,2025-05-28
p_00149,u_0035,Project 149,Frontend Engineer,completed,70,HTML/CSS,2025-08-30
p_00150,u_0035,Project 150,Frontend Engineer,completed,117,HTML/CSS,2025-08-01
p_00151,u_0035,Project 151,Frontend Engineer,completed,89,MongoDB,2024-08-30
p_00152,u_0035,Project 152,Frontend Engineer,completed,52,Microservices,2025-11-22
p_00153,u_0035,Project 153,Frontend Engineer,cancelled,22,Node.js,2025-06-22
p_00154,u_0035,Project 154,Frontend Engineer,completed,66,GraphQL,2025-08-01
p_00155,u_0036,Project 155,Full-Stack Engineer,completed,120,Unit Testing,2025-03-26
p_00156,u_0036,Project 156,Full-Stack Engineer,completed,19,System Design,2026-01-23
p_00157,u_0036,Project 157,Full-Stack Engineer,completed,85,REST APIs,2025-01-18
p_00158,u_0036,Project 158,Full-Stack Engineer,completed,14,FastAPI,2025-02-26
p_00159,u_0036,Project 159,Full-Stack Engineer,completed,95,Microservices,2024-10-08
p_00160,u_0036,Project 160,Full-Stack Engineer,completed,50,HTML/CSS,2024-12-03
p_00161,u_0037,Project 161,Frontend Engineer,completed,77,Docker,2026-02-06
p_00162,u_0037,Project 162,Frontend Engineer,completed,88,Microservices,2026-01-03
p_00163,u_0037,Project 163,Frontend Engineer,completed,47,Microservices,2024-10-03
p_00164,u_0037,Project 164,Frontend Engineer,completed,107,Node.js,2024-06-20
p_00165,u_0037,Project 165,Frontend Engineer,in_progress,34,Node.js,2024-08-01
p_00166,u_0037,Project 166,Frontend Engineer,completed,73,FastAPI,2025-06-03
p_00167,u_0038,Project 167,Full-Stack Engineer,completed,59,React,2025-03-26
p_00168,u_0038,Project 168,Full-Stack Engineer,completed,95,Docker,2025-11-11
p_00169,u_0038,Project 169,Full-Stack Engineer,completed,94,SQL,2024-09-07
p_00170,u_0039,Project 170,Frontend Engineer,in_progress,119,System Design,2025-03-07
p_00171,u_0039,Project 171,Frontend Engineer,completed,102,CI/CD,2024-09-09
p_00172,u_0039,Project 172,Frontend Engineer,completed,59,FastAPI,2024-06-16
p_00173,u_0039,Project 173,Frontend Engineer,completed,50,CI/CD,2025-10-12
p_00174,u_0039,Project 174,Frontend Engineer,completed,34,TypeScript,2025-01-12
p_00175,u_0039,Project 175,Frontend Engineer,completed,42,AWS,2025-12-27
p_00176,u_0039,Project 176,Frontend Engineer,completed,120,Redis,2025-11-29
p_00177,u_0039,Project 177,Frontend Engineer,completed,103,TypeScript,2025-08-04
p_00178,u_0039,Project 178,Frontend Engineer,completed,23,TypeScript,2024-10-15
p_00179,u_0040,Project 179,DevOps Engineer,completed,31,REST APIs,2026-02-04
p_00180,u_0041,Project 180,Backend Engineer,completed,118,TypeScript,2025-01-16
p_00181,u_0041,Project 181,Backend Engineer,completed,102,FastAPI,2025-01-21
p_00182,u_0041,Project 182,Backend Engineer,completed,40,FastAPI,2024-08-22
p_00183,u_0041,Project 183,Backend Engineer,completed,111,TypeScript,2024-08-21
p_00184,u_0041,Project 184,Backend Engineer,completed,75,HTML/CSS,2024-07-16
p_00185,u_0042,Project 185,Full-Stack Engineer,completed,74,TypeScript,2025-02-17
p_00186,u_0043,Project 186,ML Engineer,completed,114,TypeScript,2026-02-09
p_00187,u_0043,Project 187,ML Engineer,completed,39,SQL,2025-05-28
p_00188,u_0043,Project 188,ML Engineer,completed,32,GraphQL,2026-01-17
p_00189,u_0044,Project 189,DevOps Engineer,completed,92,Git,2025-11-02
p_00190,u_0044,Project 190,DevOps Engineer,completed,26,Node.js,2024-06-17
p_00191,u_0044,Project 191,DevOps Engineer,completed,105,AWS,2025-03-18
p_00192,u_0044,Project 192,DevOps Engineer,completed,110,Kubernetes,2024-06-07
p_00193,u_0044,Project 193,DevOps Engineer,cancelled,26,AWS,2025-11-01
p_00194,u_0045,Project 194,ML Engineer,completed,100,TypeScript,2024-12-05
p_00195,u_0045,Project 195,ML Engineer,in_progress,62,HTML/CSS,2025-01-08
p_00196,u_0045,Project 196,ML Engineer,completed,66,TypeScript,2025-04-20
p_00197,u_0046,Project 197,Full-Stack Engineer,completed,111,CI/CD,2025-03-25
p_00198,u_0047,Project 198,Backend Engineer,completed,63,System Design,2025-09-13
p_00199,u_0047,Project 199,Backend Engineer,completed,53,REST APIs,2025-01-20
p_00200,u_0047,Project 200,Backend Engineer,completed,51,HTML/CSS,2024-12-13
p_00201,u_0048,Project 201,Backend Engineer,completed,100,Microservices,2024-09-18
p_00202,u_0048,Project 202,Backend Engineer,completed,80,Docker,2024-10-03
p_00203,u_0048,Project 203,Backend Engineer,completed,65,Node.js,2024-09-15
p_00204,u_0048,Project 204,Backend Engineer,completed,35,Docker,2025-06-10
p_00205,u_0048,Project 205,Backend Engineer,cancelled,57,AWS,2026-02-02
p_00206,u_0048,Project 206,Backend Engineer,in_progress,65,TypeScript,2025-01-27
p_00207,u_0049,Project 207,Frontend Engineer,completed,110,Unit Testing,2025-06-02
p_00208,u_0049,Project 208,Frontend Engineer,completed,91,Unit Testing,2025-10-12
p_00209,u_0050,Project 209,Backend Engineer,completed,46,Microservices,2025-10-25
p_00210,u_0050,Project 210,Backend Engineer,completed,31,Python,2024-09-12
p_00211,u_0050,Project 211,Backend Engineer,completed,120,Docker,2025-10-26
p_00212,u_0051,Project 212,Backend Engineer,completed,55,FastAPI,2025-04-09
p_00213,u_0051,Project 213,Backend Engineer,completed,26,Docker,2025-11-17
p_00214,u_0051,Project 214,Backend Engineer,completed,115,REST APIs,2024-12-26
p_00215,u_0051,Project 215,Backend Engineer,completed,77,Microservices,2025-11-01
p_00216,u_0051,Project 216,Backend Engineer,completed,57,Kubernetes,2025-12-14
p_00217,u_0051,Project 217,Backend Engineer,completed,111,React,2025-08-17
p_00218,u_0052,Project 218,ML Engineer,in_progress,70,REST APIs,2024-07-09
p_00219,u_0052,Project 219,ML Engineer,completed,85,System Design,2024-11-18
p_00220,u_0052,Project 220,ML Engineer,completed,31,System Design,2025-07-06
p_00221,u_0052,Project 221,ML Engineer,completed,28,Node.js,2025-10-18
p_00222,u_0052,Project 222,ML Engineer,completed,101,Kubernetes,2026-01-09
p_00223,u_0052,Project 223,ML Engineer,completed,85,SQL,2025-11-03
p_00224,u_0052,Project 224,ML Engineer,completed,47,Microservices,2026-01-29
p_00225,u_0052,Project 225,ML Engineer,in_progress,92,CI/CD,2025-03-21
p_00226,u_0053,Project 226,Backend Engineer,completed,60,CI/CD,2026-01-21
p_00227,u_0053,Project 227,Backend Engineer,completed,94,PostgreSQL,2025-06-27
p_00228,u_0053,Project 228,Backend Engineer,completed,58,CI/CD,2025-07-29
p_00229,u_0054,Project 229,ML Engineer,completed,53,Node.js,2024-08-28
p_00230,u_0054,Project 230,ML Engineer,in_progress,22,System Design,2024-09-28
p_00231,u_0054,Project 231,ML Engineer,completed,16,Kubernetes,2025-05-02
p_00232,u_0055,Project 232,DevOps Engineer,completed,67,GraphQL,2024-06-23
p_00233,u_0055,Project 233,DevOps Engineer,completed,89,Python,2025-04-23
p_00234,u_0055,Project 234,DevOps Engineer,completed,63,PostgreSQL,2026-01-10
p_00235,u_0055,Project 235,DevOps Engineer,completed,76,TypeScript,2024-12-30
p_00236,u_0055,Project 236,DevOps Engineer,completed,78,PostgreSQL,2024-11-20
p_00237,u_0055,Project 237,DevOps Engineer,completed,60,HTML/CSS,2024-12-26
p_00238,u_0056,Project 238,Backend Engineer,completed,20,System Design,2026-01-11
p_00239,u_0056,Project 239,Backend Engineer,completed,42,MongoDB,2024-09-05
p_00240,u_0057,Project 240,DevOps Engineer,completed,86,Redis,2025-10-02
p_00241,u_0057,Project 241,DevOps Engineer,completed,58,Docker,2026-04-01
p_00242,u_0057,Project 242,DevOps Engineer,completed,78,System Design,2025-08-20
p_00243,u_0057,Project 243,DevOps Engineer,completed,54,AWS,2025-08-01
p_00244,u_0057,Project 244,DevOps Engineer,completed,93,Redis,2025-09-10
p_00245,u_0057,Project 245,DevOps Engineer,completed,84,SQL,2024-06-22
p_00246,u_0057,Project 246,DevOps Engineer,completed,80,SQL,2026-01-14
p_00247,u_0057,Project 247,DevOps Engineer,completed,98,REST APIs,2025-03-04
p_00248,u_0057,Project 248,DevOps Engineer,in_progress,82,MongoDB,2025-08-21
p_00249,u_0058,Project 249,Backend Engineer,completed,32,Git,2024-11-04
p_00250,u_0058,Project 250,Backend Engineer,completed,111,System Design,2025-08-22
p_00251,u_0058,Project 251,Backend Engineer,completed,120,Docker,2026-03-14
p_00252,u_0059,Project 252,Backend Engineer,completed,46,MongoDB,2025-01-30
p_00253,u_0059,Project 253,Backend Engineer,completed,28,FastAPI,2024-12-16
p_00254,u_0059,Project 254,Backend Engineer,completed,116,System Design,2025-09-21
p_00255,u_0059,Project 255,Backend Engineer,completed,69,HTML/CSS,2026-03-27
p_00256,u_0059,Project 256,Backend Engineer,in_progress,39,SQL,2025-03-09
p_00257,u_0059,Project 257,Backend Engineer,completed,47,GraphQL,2025-12-18
p_00258,u_0059,Project 258,Backend Engineer,completed,19,Microservices,2024-06-23
p_00259,u_0060,Project 259,DevOps Engineer,completed,22,HTML/CSS,2025-06-10
p_00260,u_0060,Project 260,DevOps Engineer,completed,25,Unit Testing,2024-10-24
p_00261,u_0060,Project 261,DevOps Engineer,completed,87,Redis,2024-10-04
p_00262,u_0061,Project 262,DevOps Engineer,completed,29,PostgreSQL,2025-05-06
p_00263,u_0061,Project 263,DevOps Engineer,completed,108,Unit Testing,2025-01-30
p_00264,u_0061,Project 264,DevOps Engineer,in_progress,41,FastAPI,2024-09-20
p_00265,u_0061,Project 265,DevOps Engineer,completed,49,REST APIs,2025-07-26
p_00266,u_0061,Project 266,DevOps Engineer,completed,89,React,2025-10-18
p_00267,u_0062,Project 267,Full-Stack Engineer,completed,74,Git,2025-03-14
p_00268,u_0062,Project 268,Full-Stack Engineer,in_progress,32,CI/CD,2025-10-02
p_00269,u_0062,Project 269,Full-Stack Engineer,completed,119,System Design,2024-06-24
p_00270,u_0062,Project 270,Full-Stack Engineer,completed,91,React,2024-07-28
p_00271,u_0062,Project 271,Full-Stack Engineer,completed,114,Git,2025-02-17
p_00272,u_0062,Project 272,Full-Stack Engineer,completed,53,CI/CD,2024-10-05
p_00273,u_0062,Project 273,Full-Stack Engineer,completed,44,REST APIs,2025-07-05
p_00274,u_0062,Project 274,Full-Stack Engineer,completed,64,GraphQL,2025-04-07
p_00275,u_0063,Project 275,Full-Stack Engineer,in_progress,34,REST APIs,2026-03-11
p_00276,u_0064,Project 276,ML Engineer,in_progress,119,Microservices,2025-09-28
p_00277,u_0064,Project 277,ML Engineer,completed,56,HTML/CSS,2024-09-13
p_00278,u_0064,Project 278,ML Engineer,completed,103,GraphQL,2025-11-03
p_00279,u_0064,Project 279,ML Engineer,completed,67,MongoDB,2025-12-15
p_00280,u_0064,Project 280,ML Engineer,completed,72,Python,2024-07-26
p_00281,u_0064,Project 281,ML Engineer,completed,37,REST APIs,2026-03-21
p_00282,u_0065,Project 282,Full-Stack Engineer,completed,54,Node.js,2024-08-26
p_00283,u_0066,Project 283,Frontend Engineer,completed,112,FastAPI,2026-02-01
p_00284,u_0066,Project 284,Frontend Engineer,completed,115,PostgreSQL,2025-09-08
p_00285,u_0066,Project 285,Frontend Engineer,completed,108,FastAPI,2025-02-24
p_00286,u_0066,Project 286,Frontend Engineer,completed,89,PostgreSQL,2025-03-18
p_00287,u_0066,Project 287,Frontend Engineer,completed,67,CI/CD,2024-12-06
p_00288,u_0066,Project 288,Frontend Engineer,completed,62,Node.js,2025-01-18
p_00289,u_0066,Project 289,Frontend Engineer,completed,16,Kubernetes,2026-03-27
p_00290,u_0066,Project 290,Frontend Engineer,completed,43,Docker,2025-09-19
p_00291,u_0066,Project 291,Frontend Engineer,completed,103,SQL,2024-07-23
p_00292,u_0066,Project 292,Frontend Engineer,completed,68,MongoDB,2025-02-24
p_00293,u_0067,Project 293,DevOps Engineer,in_progress,29,Python,2025-11-23
p_00294,u_0068,Project 294,Backend Engineer,completed,40,AWS,2025-03-02
p_00295,u_0068,Project 295,Backend Engineer,completed,77,Unit Testing,2024-10-14
p_00296,u_0068,Project 296,Backend Engineer,completed,40,MongoDB,2025-01-09
p_00297,u_0068,Project 297,Backend Engineer,cancelled,50,AWS,2025-08-05
p_00298,u_0068,Project 298,Backend Engineer,completed,115,FastAPI,2024-07-02
p_00299,u_0068,Project 299,Backend Engineer,completed,47,Git,2026-02-25
p_00300,u_0069,Project 300,Frontend Engineer,completed,72,Docker,2024-06-13
p_00301,u_0069,Project 301,Frontend Engineer,completed,55,Unit Testing,2025-01-06
p_00302,u_0069,Project 302,Frontend Engineer,completed,104,HTML/CSS,2026-02-04
p_00303,u_0069,Project 303,Frontend Engineer,completed,26,Kubernetes,2024-08-02
p_00304,u_0069,Project 304,Frontend Engineer,completed,44,Microservices,2025-05-31
p_00305,u_0069,Project 305,Frontend Engineer,cancelled,99,MongoDB,2024-07-19
p_00306,u_0069,Project 306,Frontend Engineer,completed,78,MongoDB,2025-06-28
p_00307,u_0069,Project 307,Frontend Engineer,completed,64,CI/CD,2024-10-16
p_00308,u_0069,Project 308,Frontend Engineer,in_progress,85,React,2026-01-18
p_00309,u_0069,Project 309,Frontend Engineer,completed,35,Redis,2025-10-20
p_00310,u_0070,Project 310,DevOps Engineer,completed,81,HTML/CSS,2024-10-26
p_00311,u_0070,Project 311,DevOps Engineer,completed,54,React,2024-10-11
p_00312,u_0071,Project 312,Full-Stack Engineer,completed,47,MongoDB,2025-02-28
p_00313,u_0071,Project 313,Full-Stack Engineer,completed,69,SQL,2025-04-22
p_00314,u_0072,Project 314,ML Engineer,in_progress,98,REST APIs,2024-07-27
p_00315,u_0072,Project 315,ML Engineer,completed,20,Git,2024-12-07
p_00316,u_0072,Project 316,ML Engineer,completed,47,SQL,2025-09-24
p_00317,u_0072,Project 317,ML Engineer,completed,77,React,2025-08-29
p_00318,u_0072,Project 318,ML Engineer,completed,104,Kubernetes,2025-10-12
p_00319,u_0072,Project 319,ML Engineer,completed,28,FastAPI,2024-10-07
p_00320,u_0073,Project 320,ML Engineer,completed,35,Redis,2025-03-09
p_00321,u_0073,Project 321,ML Engineer,completed,98,Node.js,2025-01-06
p_00322,u_0073,Project 322,ML Engineer,completed,14,Redis,2026-01-08
p_00323,u_0073,Project 323,ML Engineer,completed,23,Git,2025-10-26
p_00324,u_0073,Project 324,ML Engineer,completed,56,Python,2025-03-21
p_00325,u_0073,Project 325,ML Engineer,completed,101,TypeScript,2025-07-11
p_00326,u_0073,Project 326,ML Engineer,completed,27,PostgreSQL,2024-11-07
p_00327,u_0073,Project 327,ML Engineer,completed,72,Microservices,2025-09-10
p_00328,u_0074,Project 328,Frontend Engineer,completed,19,MongoDB,2025-09-09
p_00329,u_0074,Project 329,Frontend Engineer,completed,107,Node.js,2024-10-13
p_00330,u_0074,Project 330,Frontend Engineer,completed,20,System Design,2025-04-29
p_00331,u_0075,Project 331,ML Engineer,completed,65,GraphQL,2024-12-02
p_00332,u_0076,Project 332,Frontend Engineer,in_progress,34,Unit Testing,2025-07-20
p_00333,u_0077,Project 333,Frontend Engineer,completed,69,System Design,2026-02-10
p_00334,u_0077,Project 334,Frontend Engineer,completed,99,TypeScript,2025-06-14
p_00335,u_0077,Project 335,Frontend Engineer,completed,76,REST APIs,2025-07-05
p_00336,u_0077,Project 336,Frontend Engineer,completed,86,MongoDB,2025-08-10
p_00337,u_0077,Project 337,Frontend Engineer,completed,68,CI/CD,2026-02-21
p_00338,u_0078,Project 338,Backend Engineer,completed,57,REST APIs,2025-01-18
p_00339,u_0079,Project 339,Backend Engineer,completed,81,Docker,2025-03-27
