perf_id,project_id,user_id,commitment,teamwork,quality,recorded_at
perf_p_00080,p_00080,u_0019,80,67,70,2025-10-21
perf_p_00081,p_00081,u_0020,47,65,53,2025-04-28
perf_p_00082,p_00082,u_0021,50,55,47,2025-11-09
perf_p_00083,p_00083,u_0021,50,55,52,2025-11-09
perf_p_00084,p_00084,u_0022,86,82,84,2026-02-24
perf_p_00085,p_00085,u_0022,65,87,64,2025-08-20
perf_p_00086,p_00086,u_0022,90,93,65,2025-10-16
perf_p_00087,p_00087,u_0022,89,87,95,2024-11-02
perf_p_00090,p_00090,u_0023,76,57,78,2025-03-07
perf_p_00092,p_00092,u_0023,82,62,73,2025-02-20
perf_p_00094,p_00094,u_0024,79,83,83,2026-04-24
perf_p_00095,p_00095,u_0024,72,86,56,2025-06-04
perf_p_00096,p_00096,u_0024,87,76,76,2024-10-07
perf_p_00097,p_00097,u_0024,87,68,85,2025-02-14
perf_p_00098,p_00098,u_0024,99,84,83,2025-10-07
perf_p_00100,p_00100,u_0024,82,98,82,2025-12-19
perf_p_00101,p_00101,u_0024,72,69,85,2025-04-26
perf_p_00102,p_00102,u_0025,85,66,81,2025-05-20
perf_p_00103,p_00103,u_0025,69,52,60,2024-11-02
perf_p_00104,p_00104,u_0025,77,66,94,2024-10-04
perf_p_00105,p_00105,u_0025,63,59,77,2025-01-14
perf_p_00106,p_00106,u_0025,78,76,73,2025-03-14
perf_p_00108,p_00108,u_0026,81,76,52,2025-10-16
perf_p_00109,p_00109,u_0026,86,84,79,2025-11-08
perf_p_00110,p_00110,u_0026,94,81,83,2025-09-30
perf_p_00111,p_00111,u_0026,79,80,56,2025-12-16
perf_p_00113,p_00113,u_0026,74,64,74,2026-04-14
perf_p_00114,p_00114,u_0027,72,56,49,2025-01-09
perf_p_00115,p_00115,u_0027,100,65,50,2026-03-24
perf_p_00117,p_00117,u_0028,59,68,53,2025-05-29
perf_p_00119,p_00119,u_0028,63,53,55,2026-02-17
perf_p_00120,p_00120,u_0029,90,88,76,2025-09-19
perf_p_00121,p_00121,u_0029,95,92,81,2025-01-18
perf_p_00122,p_00122,u_0029,96,86,98,2024-12-14
perf_p_00124,p_00124,u_0029,82,98,79,2026-01-31
perf_p_00125,p_00125,u_0029,100,65,96,2025-03-27
perf_p_00126,p_00126,u_0030,71,76,77,2025-10-18
perf_p_00127,p_00127,u_0030,58,84,79,2025-07-27
perf_p_00129,p_00129,u_0030,75,75,64,2025-12-11
perf_p_00131,p_00131,u_0030,61,55,76,2025-08-03
perf_p_00132,p_00132,u_0031,48,46,38,2025-09-28
perf_p_00133,p_00133,u_0032,77,84,53,2025-12-15
perf_p_00134,p_00134,u_0032,73,72,51,2025-07-08
perf_p_00135,p_00135,u_0032,71,53,52,2026-03-08
perf_p_00136,p_00136,u_0032,70,71,71,2025-03-20
perf_p_00138,p_00138,u_0033,91,79,82,2025-09-26
perf_p_00139,p_00139,u_0033,71,94,86,2024-09-22
perf_p_00140,p_00140,u_0033,90,80,70,2026-04-15
perf_p_00141,p_00141,u_0033,90,61,68,2025-04-16
perf_p_00142,p_00142,u_0033,80,77,78,2025-06-22
perf_p_00143,p_00143,u_0033,78,58,85,2026-04-21
perf_p_00144,p_00144,u_0034,70,90,71,2025-11-30
perf_p_00145,p_00145,u_0034,80,89,86,2026-02-03
perf_p_00146,p_00146,u_0034,100,89,81,2025-01-11
perf_p_00147,p_00147,u_0034,88,86,73,2026-04-24
perf_p_00148,p_00148,u_0034,92,83,79,2026-04-23
perf_p_00149,p_00149,u_0035,100,86,80,2025-10-28
perf_p_00150,p_00150,u_0035,100,100,88,2026-03-05
perf_p_00151,p_00151,u_0035,100,91,89,2025-11-10
perf_p_00152,p_00152,u_0035,91,86,75,2025-08-31
perf_p_00154,p_00154,u_0035,79,95,78,2025-10-18
perf_p_00155,p_00155,u_0036,84,61,99,2026-01-29
perf_p_00156,p_00156,u_0036,87,48,75,2024-12-25
perf_p_00157,p_00157,u_0036,78,73,67,2024-09-21
perf_p_00158,p_00158,u_0036,92,94,79,2025-04-30
perf_p_00159,p_00159,u_0036,59,73,73,2025-09-23
perf_p_00160,p_00160,u_0036,77,58,85,2024-11-03
perf_p_00161,p_00161,u_0037,90,86,100,2025-01-02
perf_p_00162,p_00162,u_0037,98,90,83,2025-10-04
perf_p_00163,p_00163,u_0037,100,87,92,2025-01-30
perf_p_00164,p_00164,u_0037,85,85,82,2025-11-08
perf_p_00166,p_00166,u_0037,95,78,71,2026-02-27
perf_p_00167,p_00167,u_0038,59,67,49,2025-08-06
perf_p_00168,p_00168,u_0038,48,71,53,2024-12-14
perf_p_00169,p_00169,u_0038,71,78,80,2025-05-17
perf_p_00171,p_00171,u_0039,90,73,62,2025-04-09
perf_p_00172,p_00172,u_0039,82,78,70,2025-04-20
perf_p_00173,p_00173,u_0039,84,72,81,2026-01-23
perf_p_00174,p_00174,u_0039,89,86,66,2025-07-28
perf_p_00175,p_00175,u_0039,77,82,68,2025-12-19
perf_p_00176,p_00176,u_0039,73,65,83,2025-09-18
perf_p_00177,p_00177,u_0039,87,73,87,2026-02-18
perf_p_00178,p_00178,u_0039,86,91,90,2025-07-22
perf_p_00179,p_00179,u_0040,62,68,48,2024-12-24
perf_p_00180,p_00180,u_0041,84,86,66,2025-12-26
perf_p_00181,p_00181,u_0041,64,70,69,2026-03-08
perf_p_00182,p_00182,u_0041,64,72,71,2025-11-26
perf_p_00183,p_00183,u_0041,70,72,78,2025-11-26
perf_p_00184,p_00184,u_0041,68,69,66,2025-10-07
perf_p_00185,p_00185,u_0042,62,54,40,2025-07-09
perf_p_00186,p_00186,u_0043,74,75,64,2026-02-24
perf_p_00187,p_00187,u_0043,85,56,74,2025-05-23
perf_p_00188,p_00188,u_0043,78,68,70,2025-06-10
perf_p_00189,p_00189,u_0044,72,70,81,2025-06-20
perf_p_00190,p_00190,u_0044,74,83,64,2024-12-23
perf_p_00191,p_00191,u_0044,62,73,88,2025-06-12
perf_p_00192,p_00192,u_0044,65,70,71,2025-07-02
perf_p_00194,p_00194,u_0045,71,55,47,2026-02-08
perf_p_00196,p_00196,u_0045,69,48,51,2025-05-13
perf_p_00197,p_00197,u_0046,38,63,68,2025-02-28
perf_p_00198,p_00198,u_0047,80,89,68,2026-01-09
perf_p_00199,p_00199,u_0047,73,68,68,2025-06-08
perf_p_00200,p_00200,u_0047,76,65,67,2025-09-06
perf_p_00201,p_00201,u_0048,70,82,63,2026-01-24
perf_p_00202,p_00202,u_0048,79,61,69,2025-07-05
perf_p_00203,p_00203,u_0048,72,76,54,2025-03-01
perf_p_00204,p_00204,u_0048,72,52,84,2025-08-20
perf_p_00207,p_00207,u_0049,68,40,58,2026-03-23
perf_p_00208,p_00208,u_0049,57,67,51,2025-09-07
perf_p_00209,p_00209,u_0050,59,53,63,2026-02-23
perf_p_00210,p_00210,u_0050,61,36,66,2025-01-04
perf_p_00211,p_00211,u_0050,50,54,67,2024-10-02
perf_p_00212,p_00212,u_0051,90,90,86,2025-09-11
perf_p_00213,p_00213,u_0051,100,74,79,2025-11-26
perf_p_00214,p_00214,u_0051,73,94,89,2024-12-30
perf_p_00215,p_00215,u_0051,100,100,73,2026-03-22
perf_p_00216,p_00216,u_0051,92,75,93,2025-06-09
perf_p_00217,p_00217,u_0051,80,89,73,2025-08-16
perf_p_00219,p_00219,u_0052,81,94,95,2024-10-23
perf_p_00220,p_00220,u_0052,89,74,76,2025-01-14
perf_p_00221,p_00221,u_0052,79,92,100,2025-07-03
perf_p_00222,p_00222,u_0052,86,88,85,2025-02-08
perf_p_00223,p_00223,u_0052,84,89,100,2025-02-24
perf_p_00224,p_00224,u_0052,87,85,94,2025-07-09
perf_p_00226,p_00226,u_0053,74,70,63,2024-11-04
perf_p_00227,p_00227,u_0053,85,68,67,2025-09-06
perf_p_00228,p_00228,u_0053,71,69,66,2025-06-28
perf_p_00229,p_00229,u_0054,81,72,53,2026-04-08
perf_p_00231,p_00231,u_0054,74,73,61,2025-03-31
perf_p_00232,p_00232,u_0055,100,49,78,2025-07-05
perf_p_00233,p_00233,u_0055,74,81,53,2025-10-11
perf_p_00234,p_00234,u_0055,86,46,81,2024-12-20
perf_p_00235,p_00235,u_0055,89,55,60,2025-12-01
perf_p_00236,p_00236,u_0055,68,66,57,2026-04-26
perf_p_00237,p_00237,u_0055,82,83,66,2025-04-03
perf_p_00238,p_00238,u_0056,68,54,57,2026-04-14
perf_p_00239,p_00239,u_0056,67,51,61,2025-12-02
perf_p_00240,p_00240,u_0057,99,92,87,2025-07-28
perf_p_00241,p_00241,u_0057,68,81,71,2026-01-01
perf_p_00242,p_00242,u_0057,91,72,84,2024-10-09
perf_p_00243,p_00243,u_0057,85,80,79,2025-02-01
perf_p_00244,p_00244,u_0057,79,75,72,2025-05-17
perf_p_00245,p_00245,u_0057,75,77,60,2025-07-08
perf_p_00246,p_00246,u_0057,69,100,86,2025-01-17
perf_p_00247,p_00247,u_0057,83,82,87,2025-12-26
perf_p_00249,p_00249,u_0058,52,72,62,2025-06-14
perf_p_00250,p_00250,u_0058,78,57,64,2025-07-05
perf_p_00251,p_00251,u_0058,75,55,59,2024-11-12
perf_p_00252,p_00252,u_0059,93,91,59,2025-04-08
perf_p_00253,p_00253,u_0059,82,69,77,2026-01-31
perf_p_00254,p_00254,u_0059,97,98,74,2025-07-26
perf_p_00255,p_00255,u_0059,79,77,51,2026-01-20
perf_p_00257,p_00257,u_0059,79,77,85,2025-01-12
perf_p_00258,p_00258,u_0059,86,74,77,2024-12-26
perf_p_00259,p_00259,u_0060,53,73,63,2025-01-13
perf_p_00260,p_00260,u_0060,73,66,80,2025-03-18
perf_p_00261,p_00261,u_0060,80,52,45,2025-12-04
perf_p_00262,p_00262,u_0061,66,78,54,2025-11-27
perf_p_00263,p_00263,u_0061,73,71,79,2025-05-15
perf_p_00265,p_00265,u_0061,84,77,84,2026-03-24
perf_p_00266,p_00266,u_0061,75,80,65,2026-01-28
perf_p_00267,p_00267,u_0062,94,82,92,2025-10-11
perf_p_00269,p_00269,u_0062,88,83,74,2024-10-09
perf_p_00270,p_00270,u_0062,95,86,90,2025-10-14
perf_p_00271,p_00271,u_0062,98,88,69,2025-12-10
perf_p_00272,p_00272,u_0062,73,100,91,2025-01-31
perf_p_00273,p_00273,u_0062,74,91,79,2025-09-12
perf_p_00274,p_00274,u_0062,100,68,84,2025-04-14
perf_p_00277,p_00277,u_0064,62,82,63,2025-02-13
perf_p_00278,p_00278,u_0064,74,60,82,2025-08-24
perf_p_00279,p_00279,u_0064,52,74,80,2025-07-18
perf_p_00280,p_00280,u_0064,85,73,64,2026-01-19
perf_p_00281,p_00281,u_0064,63,77,58,2026-02-12
perf_p_00282,p_00282,u_0065,46,57,38,2025-01-21
perf_p_00283,p_00283,u_0066,85,75,71,2025-10-29
perf_p_00284,p_00284,u_0066,83,90,86,2025-02-20
perf_p_00285,p_00285,u_0066,91,100,66,2025-08-08
perf_p_00286,p_00286,u_0066,90,89,51,2025-05-11
perf_p_00287,p_00287,u_0066,100,100,83,2025-11-15
perf_p_00288,p_00288,u_0066,80,91,82,2025-05-25
perf_p_00289,p_00289,u_0066,100,100,100,2024-10-11
perf_p_00290,p_00290,u_0066,97,95,80,2025-12-15
perf_p_00291,p_00291,u_0066,68,100,77,2025-05-27
perf_p_00292,p_00292,u_0066,87,72,86,2025-04-29
perf_p_00294,p_00294,u_0068,73,75,75,2025-03-26
perf_p_00295,p_00295,u_0068,55,71,68,2024-12-18
perf_p_00296,p_00296,u_0068,77,87,75,2025-11-02
perf_p_00298,p_00298,u_0068,66,51,57,2025-08-25
perf_p_00299,p_00299,u_0068,78,84,81,2026-02-01
perf_p_00300,p_00300,u_0069,82,90,92,2026-01-09
perf_p_00301,p_00301,u_0069,80,87,100,2024-11-18
perf_p_00302,p_00302,u_0069,78,75,91,2024-11-22
perf_p_00303,p_00303,u_0069,85,85,79,2026-02-03
perf_p_00304,p_00304,u_0069,89,89,100,2025-08-15
perf_p_00306,p_00306,u_0069,100,90,79,2025-10-15
perf_p_00307,p_00307,u_0069,100,86,80,2025-02-19
perf_p_00309,p_00309,u_0069,93,87,64,2026-02-05
perf_p_00310,p_00310,u_0070,49,50,68,2026-03-24
perf_p_00311,p_00311,u_0070,56,51,26,2025-06-07
perf_p_00312,p_00312,u_0071,62,54,50,2025-11-16
perf_p_00313,p_00313,u_0071,57,65,53,2026-03-25
perf_p_00315,p_00315,u_0072,66,73,57,2024-11-13
perf_p_00316,p_00316,u_0072,72,73,91,2024-10-17
perf_p_00317,p_00317,u_0072,65,67,70,2025-11-11
perf_p_00318,p_00318,u_0072,60,62,80,2025-01-21
perf_p_00319,p_00319,u_0072,78,69,70,2024-10-17
perf_p_00320,p_00320,u_0073,82,88,76,2025-05-02
perf_p_00321,p_00321,u_0073,99,91,85,2025-03-30
perf_p_00322,p_00322,u_0073,70,83,76,2026-03-30
perf_p_00323,p_00323,u_0073,75,78,86,2025-10-02
perf_p_00324,p_00324,u_0073,86,78,79,2025-12-03
perf_p_00325,p_00325,u_0073,92,98,96,2025-09-22
perf_p_00326,p_00326,u_0073,84,95,92,2024-12-14
perf_p_00327,p_00327,u_0073,86,81,80,2026-03-14
perf_p_00328,p_00328,u_0074,30,43,72,2024-11-08
perf_p_00329,p_00329,u_0074,59,60,55,2025-03-14
perf_p_00330,p_00330,u_0074,56,64,32,2025-07-07
perf_p_00331,p_00331,u_0075,45,62,61,2025-01-14
perf_p_00333,p_00333,u_0077,81,78,86,2025-09-11
perf_p_00334,p_00334,u_0077,81,97,64,2025-12-09
perf_p_00335,p_00335,u_0077,78,58,80,2025-05-19
perf_p_00336,p_00336,u_0077,75,74,77,2026-03-19
perf_p_00337,p_00337,u_0077,80,81,94,2026-01-21
perf_p_00338,p_00338,u_0078,48,54,60,2025-01-29
perf_p_00339,p_00339,u_0079,64,45,47,2025-01-14
perf_p_00340,p_00340,u_0079,69,43,68,2025-02-03
perf_p_00341,p_00341,u_0079,65,57,34,2025-01-05
perf_p_00342,p_00342,u_0080,90,100,82,2025-06-14
perf_p_00343,p_00343,u_0080,82,91,81,2025-06-23
perf_p_00344,p_00344,u_0080,80,88,69,2024-09-30
perf_p_00345,p_00345,u_0080,90,74,86,2025-03-18
perf_p_00346,p_00346,u_0080,85,75,66,2025-07-20
perf_p_00347,p_00347,u_0080,100,85,100,2025-08-21
perf_p_00348,p_00348,u_0080,75,100,66,2025-04-20
perf_p_00349,p_00349,u_0081,84,72,85,2025-11-22
perf_p_00350,p_00350,u_0081,74,86,52,2024-11-08
perf_p_00352,p_00352,u_0081,88,70,100,2025-07-02
perf_p_00353,p_00353,u_0081,77,96,57,2025-12-29
perf_p_00355,p_00355,u_0081,69,89,80,2025-10-06
perf_p_00356,p_00356,u_0081,76,51,86,2025-05-12
perf_p_00357,p_00357,u_0082,59,57,62,2024-12-07
perf_p_00358,p_00358,u_0083,34,73,52,2025-07-10
perf_p_00359,p_00359,u_0084,78,90,70,2025-05-25
perf_p_00361,p_00361,u_0084,77,85,57,2024-09-23
perf_p_00362,p_00362,u_0084,93,91,74,2025-03-13
perf_p_00363,p_00363,u_0084,91,80,79,2024-09-20
perf_p_00365,p_00365,u_0084,58,87,56,2025-04-22
perf_p_00366,p_00366,u_0084,86,70,87,2024-12-01
perf_p_00367,p_00367,u_0085,69,83,65,2025-03-14
perf_p_00368,p_00368,u_0085,75,69,88,2025-06-03
perf_p_00369,p_00369,u_0085,75,66,62,2024-10-31
perf_p_00370,p_00370,u_0085,67,71,84,2025-03-18
perf_p_00371,p_00371,u_0085,64,51,63,2025-05-02
perf_p_00372,p_00372,u_0085,70,84,74,2025-06-03
perf_p_00373,p_00373,u_0086,73,69,80,2026-03-18
perf_p_00374,p_00374,u_0086,55,67,51,2025-09-04
perf_p_00375,p_00375,u_0086,81,77,70,2025-04-07
perf_p_00376,p_00376,u_0086,74,65,77,2025-11-10
perf_p_00377,p_00377,u_0086,81,74,66,2025-09-14
perf_p_00378,p_00378,u_0086,74,64,77,2025-09-29
perf_p_00379,p_00379,u_0087,45,74,61,2024-10-26
perf_p_00380,p_00380,u_0087,67,68,73,2024-10-07
perf_p_00381,p_00381,u_0087,77,74,59,2026-02-13
perf_p_00382,p_00382,u_0087,86,73,48,2025-04-19
perf_p_00383,p_00383,u_0087,62,79,63,2024-11-30
perf_p_00384,p_00384,u_0088,85,100,76,2025-04-28
perf_p_00385,p_00385,u_0088,57,74,71,2026-03-16
perf_p_00386,p_00386,u_0088,78,85,61,2026-03-05
perf_p_00387,p_00387,u_0088,94,74,77,2025-08-01
perf_p_00388,p_00388,u_0088,79,85,100,2025-07-08
perf_p_00389,p_00389,u_0088,97,83,95,2025-05-05
perf_p_00390,p_00390,u_0088,63,72,90,2025-01-07
perf_p_00392,p_00392,u_0088,86,77,96,2024-12-01
perf_p_00393,p_00393,u_0089,69,62,78,2025-09-16
perf_p_00394,p_00394,u_0089,64,58,55,2026-04-17
perf_p_00395,p_00395,u_0089,75,83,35,2026-03-15
perf_p_00396,p_00396,u_0089,72,91,58,2025-06-04
perf_p_00397,p_00397,u_0090,58,72,56,2025-01-09
perf_p_00398,p_00398,u_0090,81,75,82,2025-04-01
perf_p_00399,p_00399,u_0090,70,86,52,2024-09-26
perf_p_00400,p_00400,u_0090,77,79,68,2026-01-05
perf_p_00402,p_00402,u_0091,56,69,60,2024-10-15
perf_p_00403,p_00403,u_0091,73,68,69,2026-02-20
perf_p_00404,p_00404,u_0091,75,85,47,2025-11-17
perf_p_00405,p_00405,u_0091,65,78,49,2025-01-10
perf_p_00409,p_00409,u_0092,78,72,98,2025-08-21
perf_p_00410,p_00410,u_0092,72,74,82,2025-09-09
perf_p_00412,p_00412,u_0092,83,100,70,2025-12-15
perf_p_00414,p_00414,u_0093,71,59,67,2025-03-17
perf_p_00415,p_00415,u_0093,56,67,51,2026-02-14
perf_p_00417,p_00417,u_0093,90,80,57,2025-12-19
perf_p_00418,p_00418,u_0093,66,62,75,2026-02-13
perf_p_00419,p_00419,u_0094,70,62,68,2026-01-29
perf_p_00420,p_00420,u_0094,64,63,79,2026-03-02
perf_p_00421,p_00421,u_0094,55,60,57,2025-08-03
perf_p_00422,p_00422,u_0094,75,71,37,2024-10-23
perf_p_00423,p_00423,u_0095,78,55,75,2026-02-24
perf_p_00424,p_00424,u_0095,71,66,91,2025-07-29
perf_p_00425,p_00425,u_0095,78,74,74,2025-12-04
perf_p_00426,p_00426,u_0095,77,71,74,2025-06-03
perf_p_00427,p_00427,u_0096,74,54,68,2025-02-02
perf_p_00428,p_00428,u_0097,65,80,75,2026-02-13
perf_p_00430,p_00430,u_0097,72,67,91,2026-03-17
perf_p_00431,p_00431,u_0097,57,63,65,2026-01-24
perf_p_00432,p_00432,u_0098,73,68,75,2026-04-18
perf_p_00433,p_00433,u_0098,94,60,72,2025-01-18
perf_p_00435,p_00435,u_0098,76,62,81,2025-01-11
perf_p_00437,p_00437,u_0099,81,60,71,2025-06-07
perf_p_00438,p_00438,u_0099,76,72,63,2025-09-08
perf_p_00439,p_00439,u_0099,86,75,48,2025-04-26
perf_p_00440,p_00440,u_0099,70,61,57,2026-02-18
perf_p_00441,p_00441,u_0099,71,68,62,2025-07-30
perf_p_00442,p_00442,u_0099,74,68,82,2026-02-26
perf_p_00443,p_00443,u_0100,93,74,99,2024-10-17
perf_p_00444,p_00444,u_0100,97,77,79,2025-04-24
perf_p_00445,p_00445,u_0100,97,78,70,2025-02-13
perf_p_00446,p_00446,u_0100,77,82,72,2024-12-10
perf_p_00447,p_00447,u_0100,84,100,71,2025-04-18
perf_p_00448,p_00448,u_0100,87,82,71,2025-03-12
perf_p_00449,p_00449,u_0101,69,84,71,2025-10-05
perf_p_00450,p_00450,u_0101,67,64,58,2025-03-14
perf_p_00452,p_00452,u_0101,82,83,51,2025-07-07
perf_p_00454,p_00454,u_0102,78,71,67,2026-03-21
perf_p_00455,p_00455,u_0102,74,77,79,2025-01-04
perf_p_00456,p_00456,u_0102,100,77,80,2025-12-12
perf_p_00457,p_00457,u_0102,73,75,94,2025-01-07
perf_p_00458,p_00458,u_0103,95,100,73,2025-10-23
perf_p_00459,p_00459,u_0103,76,77,59,2026-01-19
perf_p_00460,p_00460,u_0103,94,65,64,2024-10-10
perf_p_00462,p_00462,u_0103,74,78,92,2025-11-03
perf_p_00463,p_00463,u_0103,99,88,78,2025-10-16
perf_p_00464,p_00464,u_0103,92,85,67,2025-06-04
perf_p_00465,p_00465,u_0103,90,77,77,2024-10-27
perf_p_00467,p_00467,u_0104,80,84,96,2026-04-20
perf_p_00469,p_00469,u_0104,98,79,86,2025-08-14
perf_p_00470,p_00470,u_0104,85,96,95,2024-10-02
perf_p_00472,p_00472,u_0105,73,65,59,2026-03-31
perf_p_00473,p_00473,u_0105,50,72,68,2025-04-14
perf_p_00474,p_00474,u_0105,67,75,75,2025-05-03
perf_p_00475,p_00475,u_0105,82,68,73,2025-09-28
perf_p_00476,p_00476,u_0105,68,76,64,2024-10-17
perf_p_00477,p_00477,u_0105,48,79,50,2026-03-04
perf_p_00478,p_00478,u_0106,80,76,60,2025-07-16
perf_p_00480,p_00480,u_0106,72,83,69,2025-05-22
perf_p_00481,p_00481,u_0106,88,73,71,2025-10-26
perf_p_00482,p_00482,u_0106,63,81,81,2025-06-14
perf_p_00484,p_00484,u_0107,86,78,60,2025-11-10
perf_p_00485,p_00485,u_0107,83,98,81,2026-03-19
perf_p_00486,p_00486,u_0107,79,78,77,2025-03-28
perf_p_00487,p_00487,u_0107,66,91,58,2025-08-08
perf_p_00491,p_00491,u_0110,75,95,80,2024-12-22
perf_p_00492,p_00492,u_0110,100,86,100,2026-01-06
perf_p_00495,p_00495,u_0110,82,95,87,2025-06-23
perf_p_00497,p_00497,u_0110,100,66,87,2026-03-11
perf_p_00498,p_00498,u_0110,80,87,100,2025-09-27
perf_p_00499,p_00499,u_0110,89,89,66,2025-12-18
perf_p_00500,p_00500,u_0110,94,100,78,2025-09-24
perf_p_00501,p_00501,u_0111,88,77,79,2025-07-26
perf_p_00503,p_00503,u_0111,74,97,84,2025-03-03
perf_p_00504,p_00504,u_0111,83,88,100,2025-05-24
perf_p_00505,p_00505,u_0111,92,87,86,2026-04-14
perf_p_00507,p_00507,u_0111,73,82,74,2026-01-29
perf_p_00508,p_00508,u_0111,83,90,75,2025-08-06
perf_p_00509,p_00509,u_0112,76,64,51,2024-09-16
perf_p_00510,p_00510,u_0112,71,76,54,2026-02-04
perf_p_00511,p_00511,u_0112,67,64,83,2025-08-06
perf_p_00512,p_00512,u_0112,60,72,48,2024-12-03
perf_p_00513,p_00513,u_0112,66,79,60,2024-11-29
perf_p_00514,p_00514,u_0112,60,81,77,2025-02-28
perf_p_00515,p_00515,u_0113,86,76,89,2025-01-05
perf_p_00516,p_00516,u_0113,82,72,77,2026-01-22
perf_p_00517,p_00517,u_0113,87,82,85,2025-11-13
perf_p_00518,p_00518,u_0113,65,74,57,2025-06-15
perf_p_00519,p_00519,u_0113,75,56,64,2025-09-26
perf_p_00520,p_00520,u_0113,66,67,62,2025-09-26
perf_p_00521,p_00521,u_0114,72,48,51,2025-12-28
perf_p_00522,p_00522,u_0114,60,64,52,2025-01-27
perf_p_00523,p_00523,u_0114,24,64,69,2026-01-09
