tasks_assigned,tasks_completed,overdue_tasks,quality_score,teamwork_score,attendance_rate,feedback_text,skill_match_score,avg_rating,availability_score,project_similarity,final_rating
7,7,0,3.3,3.3,0.63,Outstanding contribution,0.55,4.4,0.87,0.85,4.02
16,15,1,4.4,2.8,0.97,Good but not consistent,0.8,4.7,0.66,0.92,4.27
15,7,0,4.1,2.1,0.85,Late submission and weak teamwork,0.48,4.6,0.73,0.64,3.29
20,7,1,4.5,4.0,0.95,Needs improvement in deadlines,0.74,4.2,0.68,0.58,3.54
17,17,0,4.2,4.4,0.93,Good but not consistent,0.43,3.3,0.59,0.76,4.34
17,9,6,4.8,4.2,0.73,Very committed and reliable,0.85,3.5,0.85,0.51,3.66
17,9,1,4.8,4.2,0.79,Excellent performance and teamwork,0.51,3.2,0.83,0.82,3.63
14,7,4,2.3,4.4,0.68,Late submission and weak teamwork,0.96,2.9,0.5,0.43,3.01
16,16,0,4.1,2.8,0.87,Good but not consistent,0.99,4.7,0.56,0.52,4.25
14,1,7,3.3,4.3,0.99,Late submission and weak teamwork,0.75,3.1,0.73,0.83,2.74
17,8,3,3.5,3.7,0.75,Very committed and reliable,0.69,4.2,0.49,0.41,3.36
15,3,8,3.7,4.6,0.72,Needs improvement in deadlines,0.86,3.3,0.7,0.48,2.98
5,5,0,3.8,4.3,0.82,Good but not consistent,0.87,2.8,0.43,0.74,4.09
15,11,3,3.7,3.3,0.89,Excellent performance and teamwork,0.98,4.9,0.66,0.81,3.93
14,9,5,3.1,2.4,0.88,Good but not consistent,0.5,4.6,0.89,0.56,3.42
17,3,8,4.8,3.1,0.92,Very committed and reliable,0.56,3.9,0.97,0.68,3.08
7,4,3,3.8,3.4,0.63,Late submission and weak teamwork,0.64,3.2,0.89,0.44,3.25
12,10,0,3.8,2.5,0.69,Needs improvement in deadlines,0.5,3.3,0.69,0.84,3.51
5,1,1,4.6,4.3,0.69,Very committed and reliable,0.64,2.9,0.99,0.48,3.0
8,1,6,2.6,3.9,0.69,Excellent performance and teamwork,0.97,4.8,0.67,0.79,2.79
19,14,0,4.0,4.4,0.87,Good but not consistent,0.81,2.9,0.7,0.66,3.8
8,6,2,2.9,3.9,0.75,Very committed and reliable,0.79,3.1,0.74,0.95,3.48
13,7,2,3.3,2.4,0.69,Good but not consistent,0.48,4.7,0.57,0.44,3.23
16,9,5,2.1,3.6,0.61,Outstanding contribution,0.82,3.2,0.92,0.64,2.93
10,3,7,4.5,3.6,0.87,Very committed and reliable,0.81,3.9,0.6,0.7,3.29
14,13,1,3.6,2.8,0.96,Needs improvement in deadlines,0.88,2.9,0.95,0.95,3.73
15,12,3,4.0,3.2,0.9,Very committed and reliable,0.88,4.1,0.72,0.56,3.91
10,4,3,3.2,4.4,0.67,Needs improvement in deadlines,0.4,2.7,0.82,0.89,3.0
8,1,1,4.3,2.6,0.7,Good but not consistent,0.46,3.3,0.87,0.85,2.58
16,12,1,4.8,3.6,0.71,Outstanding contribution,0.95,4.1,0.65,0.52,3.98
5,2,3,4.8,3.1,0.88,Outstanding contribution,0.96,4.1,0.77,0.69,3.44
7,2,4,4.8,3.3,0.64,Very committed and reliable,0.47,4.9,0.45,0.76,3.35
18,16,2,3.3,2.5,0.8,Very committed and reliable,0.48,3.2,0.86,0.87,3.53
7,6,1,3.1,2.3,0.92,Excellent performance and teamwork,0.74,3.9,0.68,0.77,3.61
17,4,7,4.0,3.3,0.81,Needs improvement in deadlines,0.99,5.0,0.68,0.97,3.22
13,1,2,2.4,4.3,0.81,Needs improvement in deadlines,0.85,3.4,0.9,0.99,2.54
19,8,11,4.9,4.3,0.63,Very committed and reliable,0.93,4.6,0.94,0.72,3.71
19,7,1,4.3,2.3,0.97,Very committed and reliable,0.64,4.8,0.86,0.58,3.32
9,8,1,3.8,4.4,0.62,Needs improvement in deadlines,0.63,2.5,0.96,0.96,3.78
7,1,6,4.8,4.3,0.7,Needs improvement in deadlines,0.5,3.7,0.39,0.79,3.12
13,0,9,4.6,3.7,0.66,Good but not consistent,0.56,3.1,0.54,0.85,2.61
14,6,5,3.4,4.1,0.7,Very committed and reliable,0.53,4.6,0.74,0.82,3.41
13,7,2,4.9,3.6,0.95,Needs improvement in deadlines,0.97,3.5,0.93,0.46,3.68
17,7,8,2.5,4.0,0.61,Good but not consistent,0.45,4.9,0.84,0.54,3.2
13,8,5,2.7,2.3,0.95,Good but not consistent,0.48,2.5,0.62,0.86,2.9
9,1,1,3.6,4.3,0.79,Good but not consistent,0.56,2.7,0.85,0.52,2.68
14,1,11,4.3,2.9,0.82,Excellent performance and teamwork,0.61,3.7,0.4,0.56,2.7
9,6,0,2.6,3.8,0.82,Very committed and reliable,1.0,4.7,0.85,0.87,3.63
11,11,0,3.0,2.8,0.99,Outstanding contribution,0.86,3.0,0.38,0.43,3.76
7,4,3,3.9,4.3,0.86,Excellent performance and teamwork,0.55,4.8,0.86,0.44,3.89
13,4,0,4.3,3.8,0.79,Good but not consistent,0.92,2.7,0.56,0.96,3.02
20,7,10,3.0,3.2,0.63,Excellent performance and teamwork,0.57,2.8,0.95,0.68,2.64
15,7,8,3.4,2.9,0.9,Excellent performance and teamwork,0.87,4.7,0.66,0.86,3.35
6,2,0,2.7,4.5,0.87,Needs improvement in deadlines,0.88,4.9,0.41,0.49,3.35
20,13,7,2.5,4.2,0.73,Outstanding contribution,0.44,3.2,0.95,0.52,3.32
12,0,12,3.3,3.9,0.89,Needs improvement in deadlines,0.81,4.1,0.52,0.91,2.71
13,0,6,4.8,4.0,0.82,Outstanding contribution,0.86,4.5,0.37,0.74,3.07
14,11,1,3.2,2.8,0.63,Outstanding contribution,0.72,4.1,0.7,0.76,3.51
13,6,2,2.4,3.1,0.96,Late submission and weak teamwork,0.73,4.4,0.53,0.72,3.15
17,11,6,3.1,2.1,0.91,Good but not consistent,0.55,2.9,0.86,0.76,3.05
12,6,3,2.9,2.3,0.86,Outstanding contribution,0.73,4.5,0.84,0.75,3.12
8,4,3,4.7,2.6,0.86,Very committed and reliable,0.46,4.0,0.49,0.8,3.44
10,4,3,3.9,4.0,0.7,Outstanding contribution,0.81,2.7,0.66,0.78,3.07
7,1,2,3.6,3.8,0.97,Excellent performance and teamwork,0.85,4.4,0.79,0.6,3.06
11,11,0,3.9,3.7,0.87,Late submission and weak teamwork,0.8,3.7,0.69,0.78,4.2
9,3,2,4.7,2.1,0.74,Outstanding contribution,0.47,3.1,0.46,0.42,2.85
14,3,6,3.4,2.1,0.85,Excellent performance and teamwork,0.6,4.4,0.81,0.47,2.73
17,10,3,4.7,2.7,0.9,Excellent performance and teamwork,0.97,4.6,0.54,0.84,3.73
8,4,4,3.2,3.8,0.74,Excellent performance and teamwork,0.5,3.7,0.49,0.82,3.26
5,5,0,2.6,4.0,0.79,Needs improvement in deadlines,0.7,4.6,0.5,0.87,4.13
20,1,6,4.3,4.8,0.65,Very committed and reliable,0.96,3.2,0.6,0.62,2.86
17,14,1,2.0,4.4,0.63,Outstanding contribution,1.0,4.7,0.46,0.63,3.77
20,0,16,3.9,2.4,0.88,Outstanding contribution,0.56,2.8,0.7,0.81,2.26
18,4,3,4.3,2.9,0.88,Outstanding contribution,0.66,2.5,0.78,0.72,2.71
5,2,2,4.2,4.1,0.92,Late submission and weak teamwork,1.0,4.2,0.47,0.85,3.56
13,0,0,4.8,3.6,0.97,Very committed and reliable,0.65,4.1,0.79,0.95,2.98
14,10,2,2.9,3.5,0.95,Good but not consistent,0.69,3.6,0.85,0.53,3.55
13,6,0,3.7,3.2,0.65,Excellent performance and teamwork,0.81,3.5,0.84,0.52,3.1
10,2,2,2.2,4.6,0.82,Excellent performance and teamwork,0.83,4.1,0.55,0.61,2.89
17,8,7,2.4,3.9,0.68,Outstanding contribution,0.95,4.6,0.82,0.69,3.23
11,6,3,2.7,2.9,0.79,Outstanding contribution,0.98,4.2,0.77,0.95,3.17
6,0,6,2.0,2.7,0.96,Excellent performance and teamwork,0.45,3.3,0.86,0.51,2.08
14,10,1,3.9,2.8,0.84,Outstanding contribution,0.45,4.4,0.93,0.76,3.71
10,6,3,4.9,4.5,0.89,Needs improvement in deadlines,0.58,2.9,0.67,0.7,3.8
15,1,7,3.9,3.8,0.68,Late submission and weak teamwork,0.99,2.7,0.64,0.69,2.52
18,18,0,4.3,4.9,0.88,Outstanding contribution,0.75,4.1,0.32,0.6,4.6
14,2,12,4.9,3.0,0.92,Outstanding contribution,0.53,4.7,0.91,0.53,3.19
17,14,0,4.6,4.7,0.96,Needs improvement in deadlines,0.45,2.6,0.47,0.92,4.1
7,1,2,4.2,4.2,0.75,Excellent performance and teamwork,0.76,2.8,0.3,0.76,2.83
16,2,2,3.8,2.9,0.79,Late submission and weak teamwork,0.71,3.7,0.99,0.75,2.66
16,0,7,2.9,2.4,0.85,Good but not consistent,0.56,3.2,0.73,0.97,2.12
6,4,2,4.7,2.3,0.76,Very committed and reliable,0.48,3.5,0.97,0.69,3.48
19,13,3,2.9,4.7,0.88,Outstanding contribution,0.85,3.9,0.44,0.48,3.77
5,4,1,2.3,3.8,0.98,Outstanding contribution,0.66,4.4,0.94,0.45,3.79
18,14,0,4.2,3.3,0.91,Needs improvement in deadlines,0.93,4.8,0.41,0.49,4.08
12,9,1,3.3,3.5,0.72,Excellent performance and teamwork,0.57,5.0,0.88,0.79,3.85
14,11,2,4.3,2.3,0.67,Very committed and reliable,0.82,4.2,0.51,0.59,3.67
10,1,1,3.0,3.5,0.85,Outstanding contribution,0.83,3.1,0.35,0.52,2.5
15,14,0,4.1,4.1,0.69,Outstanding contribution,0.76,3.1,0.34,0.91,4.0
16,14,0,4.2,3.0,0.97,Very committed and reliable,0.54,3.8,0.95,0.72,4.0
13,1,4,3.9,2.9,0.76,Good but not consistent,0.87,3.8,0.77,0.8,2.62
8,4,0,3.7,2.6,0.62,Good but not consistent,0.51,3.5,0.52,0.8,3.02
18,13,5,4.3,3.0,0.78,Good but not consistent,0.42,4.6,0.78,0.55,3.85
19,0,12,3.0,3.0,0.85,Excellent performance and teamwork,0.7,4.8,0.51,0.45,2.58
18,18,0,4.8,4.1,0.6,Outstanding contribution,0.91,2.8,0.34,0.62,4.14
10,8,2,4.1,4.0,0.63,Needs improvement in deadlines,0.54,2.7,0.57,0.89,3.68
14,6,3,4.0,4.0,0.93,Late submission and weak teamwork,0.45,2.7,0.43,0.79,3.25
13,9,0,4.8,3.5,0.8,Excellent performance and teamwork,0.86,4.7,0.43,0.76,4.04
12,0,7,4.5,2.8,0.99,Needs improvement in deadlines,0.68,2.6,0.55,0.73,2.48
9,6,3,4.1,3.2,0.97,Late submission and weak teamwork,0.72,3.6,0.77,0.88,3.67
12,4,6,3.4,4.0,0.69,Needs improvement in deadlines,0.91,3.0,0.66,0.76,2.93
19,5,5,2.7,3.2,0.95,Good but not consistent,0.99,4.4,0.54,0.65,2.93
18,1,2,4.5,2.3,0.83,Outstanding contribution,0.85,3.4,0.43,0.46,2.54
15,7,6,3.1,4.2,0.68,Good but not consistent,0.58,4.4,0.65,0.47,3.38
6,5,0,2.6,4.1,0.83,Needs improvement in deadlines,0.55,4.4,0.76,0.94,3.88
11,10,1,2.3,2.9,0.68,Excellent performance and teamwork,0.89,4.0,0.95,0.59,3.54
18,9,5,3.8,4.1,0.94,Outstanding contribution,0.94,4.4,0.91,0.46,3.68
19,3,14,3.5,4.0,0.82,Needs improvement in deadlines,0.65,3.9,0.43,0.78,2.93
16,3,6,4.6,3.1,0.68,Needs improvement in deadlines,0.58,3.0,0.32,0.92,2.76
11,1,8,2.7,4.4,0.61,Late submission and weak teamwork,0.41,4.0,0.77,0.77,2.66
12,7,0,4.6,2.2,0.94,Needs improvement in deadlines,0.97,4.3,0.6,0.51,3.56
10,1,7,2.0,4.4,0.7,Excellent performance and teamwork,0.89,3.0,0.52,0.65,2.38
19,2,3,4.1,2.2,0.62,Outstanding contribution,0.57,3.0,0.83,0.64,2.33
8,2,5,3.3,3.3,0.87,Late submission and weak teamwork,0.91,4.7,0.85,0.72,3.07
5,4,0,4.5,3.5,0.74,Outstanding contribution,0.95,4.2,0.83,0.85,4.01
12,2,7,2.3,4.4,0.9,Excellent performance and teamwork,0.55,2.6,0.87,0.94,2.56
10,4,4,4.0,3.5,0.8,Good but not consistent,0.92,3.6,0.59,0.97,3.22
5,3,1,2.0,4.3,0.65,Late submission and weak teamwork,0.82,3.6,0.78,0.97,3.21
8,6,1,4.6,3.7,0.68,Good but not consistent,0.8,2.5,0.61,0.43,3.62
13,4,9,4.1,3.1,0.99,Late submission and weak teamwork,0.92,2.8,0.82,0.45,2.96
9,5,3,2.1,2.1,0.82,Good but not consistent,0.67,4.2,0.55,0.86,2.92
5,1,1,3.7,4.1,0.63,Outstanding contribution,0.97,3.4,0.53,0.68,2.85
12,5,6,3.2,2.4,0.72,Needs improvement in deadlines,0.68,3.2,0.79,0.48,2.75
13,5,3,2.5,2.5,0.66,Needs improvement in deadlines,0.67,4.7,0.94,0.8,2.85
11,6,3,3.4,3.1,0.82,Good but not consistent,0.64,3.3,0.57,0.67,3.19
16,2,10,3.4,2.5,0.78,Good but not consistent,0.47,3.9,0.97,0.98,2.54
15,15,0,2.9,3.0,0.64,Good but not consistent,0.75,4.7,0.53,0.4,3.94
20,4,4,3.2,3.4,0.93,Late submission and weak teamwork,0.71,4.5,0.5,0.81,2.98
13,0,4,4.3,3.1,0.75,Outstanding contribution,0.82,2.7,0.95,0.79,2.4
17,15,2,4.9,3.1,0.61,Needs improvement in deadlines,0.9,4.4,0.46,0.72,4.11
19,13,3,2.7,2.3,0.79,Very committed and reliable,0.41,4.2,0.49,0.65,3.26
8,4,1,3.8,3.4,0.96,Late submission and weak teamwork,0.97,4.1,0.58,0.4,3.49
12,4,8,2.2,4.9,0.96,Very committed and reliable,0.53,2.9,0.6,0.64,2.98
13,3,2,2.9,2.6,0.73,Excellent performance and teamwork,0.4,4.9,0.44,0.58,2.79
9,2,0,3.7,2.3,0.87,Excellent performance and teamwork,0.65,4.8,0.51,0.8,2.93
9,6,3,3.6,3.4,0.86,Outstanding contribution,0.92,3.4,0.81,0.88,3.51
16,7,8,2.4,3.6,0.85,Late submission and weak teamwork,0.99,3.3,0.93,0.45,2.94
12,0,6,4.6,4.7,0.8,Very committed and reliable,1.0,3.8,0.85,0.94,3.02
6,5,0,4.1,2.9,0.85,Excellent performance and teamwork,0.95,3.6,0.89,0.52,3.8
17,14,1,2.6,4.1,0.63,Outstanding contribution,0.49,4.8,0.38,0.76,3.85
14,5,4,4.5,4.3,0.74,Very committed and reliable,0.41,4.7,0.59,0.89,3.61
14,2,8,3.5,2.2,0.94,Good but not consistent,0.56,4.5,0.51,0.99,2.72
18,15,3,3.7,4.3,0.99,Outstanding contribution,0.44,4.3,0.57,0.53,4.21
8,0,3,3.9,3.5,0.92,Good but not consistent,0.5,3.9,0.37,0.47,2.72
11,9,1,3.4,2.8,0.62,Very committed and reliable,0.65,3.1,0.35,0.56,3.4
8,8,0,3.1,2.3,0.63,Late submission and weak teamwork,0.46,4.9,0.6,0.74,3.88
6,1,0,3.6,3.7,0.99,Good but not consistent,0.73,4.8,0.52,0.82,3.17
5,2,2,3.3,3.0,0.78,Outstanding contribution,0.88,4.8,0.87,0.48,3.21
