task_text;category;required_skills;difficulty;subtasks
Set up database monitoring with alerts;database administration;"[""Encryption"", ""HA"", ""pgAdmin"", ""Backup & Recovery""]";Hard;"[""Implement in staging"", ""Test thoroughly"", ""Plan changes"", ""Assess current state"", ""Apply to production""]"
Implement search API with filters and pagination;backend;"[""Django"", ""REST API""]";Easy;"[""Write unit tests"", ""Set up database schema"", ""Design API endpoints""]"
Design accessible color scheme for visually impaired users;ui/ux design;"[""Design Systems"", ""Adobe XD"", ""InVision""]";Medium;"[""Conduct user research"", ""Conduct usability testing"", ""Create wireframes"", ""Design high-fidelity mockups""]"
Set up automated browser testing with Selenium;testing;"[""Cypress"", ""SonarQube"", ""Postman""]";Medium;"[""Define test strategy"", ""Write test cases"", ""Execute tests"", ""Report and track bugs""]"
Create modal dialog system;frontend;"[""HTML"", ""Next.js""]";Easy;"[""Create wireframes"", ""Integrate with APIs"", ""Build UI components""]"
Design multi-tenant cloud infrastructure;cloud;"[""IAM"", ""Lambda"", ""RDS""]";Medium;"[""Configure cloud resources"", ""Implement security controls"", ""Assess requirements"", ""Monitor and optimize costs""]"
Write performance load tests with JMeter;testing;"[""Cypress"", ""Appium"", ""JMeter""]";Medium;"[""Write test cases"", ""Define test strategy"", ""Report and track bugs"", ""Set up test environment""]"
Create executive KPI reporting dashboard;data science;"[""Scikit-learn"", ""Python"", ""Excel""]";Medium;"[""Create visualizations"", ""Collect and validate data"", ""Present findings to stakeholders"", ""Build statistical model""]"
Create multi-step registration form;frontend;"[""SASS"", ""Jest"", ""TypeScript""]";Medium;"[""Integrate with APIs"", ""Cross-browser testing"", ""Build UI components"", ""Add responsive design""]"
Build WebSocket server for real-time chat;backend;"[""MySQL"", ""Go"", ""MongoDB"", ""PostgreSQL""]";Hard;"[""Design API endpoints"", ""Write unit tests"", ""Code review and documentation"", ""Set up database schema"", ""Implement business logic""]"
Manage cross-functional team coordination;project management;"[""Confluence"", ""Lean""]";Easy;"[""Define scope and objectives"", ""Monitor progress"", ""Assign tasks and resources""]"
Configure deployment pipeline for multiple environments;deployment;"[""AWS"", ""Helm"", ""Ansible"", ""SSL""]";Hard;"[""Configure environment"", ""Run health checks"", ""Deploy to target"", ""Build and package application"", ""Monitor deployment""]"
Train image classification model with CNN;ai/ml;"[""MLflow"", ""CNN"", ""XGBoost"", ""TensorFlow""]";Hard;"[""Evaluate performance metrics"", ""Prepare and clean data"", ""Train and tune model"", ""Design model architecture"", ""Deploy model to production""]"
Deploy mobile app backend to cloud server;deployment;"[""Heroku"", ""Shell Scripting""]";Easy;"[""Build and package application"", ""Configure environment"", ""Monitor deployment""]"
Create recommendation engine with collaborative filtering;ai/ml;"[""PyTorch"", ""Hugging Face"", ""XGBoost""]";Medium;"[""Prepare and clean data"", ""Design model architecture"", ""Deploy model to production"", ""Evaluate performance metrics""]"
Write API documentation with Swagger;documentation;"[""MS Word"", ""Markdown"", ""Swagger"", ""JIRA""]";Hard;"[""Draft content"", ""Review with stakeholders"", ""Gather information"", ""Publish documentation"", ""Maintain and update""]"
Deploy application to Heroku platform;deployment;"[""Docker"", ""Heroku"", ""Kubernetes"", ""CloudFormation""]";Hard;"[""Configure environment"", ""Build and package application"", ""Run health checks"", ""Monitor deployment"", ""Deploy to target""]"
Create speech-to-text transcription system;ai/ml;"[""BERT"", ""TensorFlow"", ""LSTM""]";Medium;"[""Evaluate performance metrics"", ""Prepare and clean data"", ""Deploy model to production"", ""Train and tune model""]"
Set up database clustering for high availability;database administration;"[""PostgreSQL"", ""MongoDB"", ""DBA""]";Medium;"[""Apply to production"", ""Assess current state"", ""Test thoroughly"", ""Plan changes""]"
Define release criteria and go-live checklist;project management;"[""Confluence"", ""Miro"", ""Budgeting"", ""Scrum""]";Hard;"[""Assign tasks and resources"", ""Report to stakeholders"", ""Monitor progress"", ""Create project plan"", ""Define scope and objectives""]"
Perform statistical analysis on survey results;data science;"[""Pandas"", ""SQL"", ""Matplotlib""]";Medium;"[""Perform exploratory analysis"", ""Build statistical model"", ""Collect and validate data"", ""Create visualizations""]"
Create data quality validation pipeline;data science;"[""Power BI"", ""Seaborn"", ""Excel""]";Medium;"[""Collect and validate data"", ""Perform exploratory analysis"", ""Create visualizations"", ""Build statistical model""]"
Set up multi-environment deployment pipeline;devops;"[""Terraform"", ""Istio"", ""Docker"", ""Linux""]";Hard;"[""Deploy to production"", ""Test in staging environment"", ""Write configuration scripts"", ""Plan infrastructure"", ""Monitor and validate""]"
Define metrics and KPIs for project success;project management;"[""JIRA"", ""Risk Management"", ""Confluence""]";Medium;"[""Assign tasks and resources"", ""Define scope and objectives"", ""Monitor progress"", ""Create project plan""]"
Implement offline mode with service workers;frontend;"[""Angular"", ""Tailwind CSS""]";Easy;"[""Build UI components"", ""Cross-browser testing"", ""Integrate with APIs""]"
Create Figma prototype for checkout process;ui/ux design;"[""InVision"", ""CSS""]";Easy;"[""Conduct usability testing"", ""Design high-fidelity mockups"", ""Build prototype""]"
Define release criteria and go-live checklist;project management;"[""Kanban"", ""Stakeholder Management"", ""Risk Management"", ""Agile""]";Hard;"[""Report to stakeholders"", ""Assign tasks and resources"", ""Monitor progress"", ""Define scope and objectives"", ""Create project plan""]"
Create API gateway with load balancing;backend;"[""Docker"", ""MongoDB"", ""Java""]";Medium;"[""Set up database schema"", ""Design API endpoints"", ""Write unit tests"", ""Code review and documentation""]"
Configure database connection string management;database administration;"[""Backup & Recovery"", ""Replication"", ""pgAdmin""]";Medium;"[""Apply to production"", ""Plan changes"", ""Assess current state"", ""Test thoroughly""]"
Configure tablespace management in Oracle;database administration;"[""Cassandra"", ""DBA""]";Easy;"[""Apply to production"", ""Test thoroughly"", ""Assess current state""]"
Manage scope creep and change requests;project management;"[""Miro"", ""Kanban""]";Easy;"[""Report to stakeholders"", ""Define scope and objectives"", ""Assign tasks and resources""]"
Create modal dialog system;frontend;"[""CSS"", ""Storybook""]";Easy;"[""Build UI components"", ""Cross-browser testing"", ""Create wireframes""]"
Implement infrastructure as code with Terraform;devops;"[""Linux"", ""Prometheus"", ""ArgoCD""]";Medium;"[""Write configuration scripts"", ""Monitor and validate"", ""Deploy to production"", ""Plan infrastructure""]"
Train demand forecasting model for retail;ai/ml;"[""PyTorch"", ""LSTM""]";Easy;"[""Prepare and clean data"", ""Design model architecture"", ""Deploy model to production""]"
Design normalized schema for e-commerce platform;database;"[""MongoDB"", ""Oracle"", ""DynamoDB""]";Medium;"[""Document and test"", ""Implement queries"", ""Optimize performance"", ""Analyze data requirements""]"
Document microservices communication patterns;documentation;"[""Notion"", ""MS Word""]";Easy;"[""Review with stakeholders"", ""Gather information"", ""Publish documentation""]"
Set up container registry on ECR;cloud;"[""RDS"", ""VPC""]";Easy;"[""Design architecture"", ""Configure cloud resources"", ""Implement security controls""]"
Perform database storage optimization;database administration;"[""MongoDB"", ""Backup & Recovery"", ""PostgreSQL"", ""Replication""]";Hard;"[""Test thoroughly"", ""Plan changes"", ""Assess current state"", ""Implement in staging"", ""Apply to production""]"
Write compliance documentation for audit;documentation;"[""MS Word"", ""ReadTheDocs"", ""Technical Writing""]";Medium;"[""Maintain and update"", ""Gather information"", ""Review with stakeholders"", ""Draft content""]"
Create integration guide for third-party API;documentation;"[""Diagram tools"", ""API Documentation""]";Easy;"[""Review with stakeholders"", ""Publish documentation"", ""Maintain and update""]"
Implement row-level security policies;database;"[""MySQL"", ""Snowflake"", ""PgBouncer""]";Medium;"[""Implement queries"", ""Analyze data requirements"", ""Design schema"", ""Document and test""]"
Document authentication and authorization flow;documentation;"[""Sphinx"", ""Asciidoc""]";Easy;"[""Publish documentation"", ""Gather information"", ""Review with stakeholders""]"
Perform database capacity planning;database administration;"[""DBA"", ""Clustering"", ""Replication"", ""MySQL""]";Hard;"[""Plan changes"", ""Test thoroughly"", ""Apply to production"", ""Implement in staging"", ""Assess current state""]"
Implement dependency vulnerability scanning;devops;"[""CI/CD"", ""Helm"", ""Prometheus""]";Medium;"[""Monitor and validate"", ""Deploy to production"", ""Test in staging environment"", ""Plan infrastructure""]"
Identify and resolve project blockers;project management;"[""Agile"", ""Budgeting"", ""Confluence"", ""MS Project""]";Hard;"[""Monitor progress"", ""Create project plan"", ""Report to stakeholders"", ""Assign tasks and resources"", ""Define scope and objectives""]"
Document disaster recovery procedures;documentation;"[""Markdown"", ""Diagram tools"", ""MS Word""]";Medium;"[""Publish documentation"", ""Maintain and update"", ""Gather information"", ""Draft content""]"
Create project communication plan;project management;"[""Budgeting"", ""Scrum"", ""Risk Management"", ""Confluence""]";Hard;"[""Assign tasks and resources"", ""Report to stakeholders"", ""Create project plan"", ""Define scope and objectives"", ""Monitor progress""]"
Design empty states for mobile application;ui/ux design;"[""User Research"", ""Wireframing"", ""Usability Testing"", ""Miro""]";Hard;"[""Conduct user research"", ""Design high-fidelity mockups"", ""Create wireframes"", ""Build prototype"", ""Conduct usability testing""]"
Create agile transformation plan for organization;project management;"[""Trello"", ""Agile"", ""Risk Management"", ""Lean""]";Hard;"[""Define scope and objectives"", ""Monitor progress"", ""Create project plan"", ""Assign tasks and resources"", ""Report to stakeholders""]"
Set up master-slave replication for PostgreSQL;database;"[""SQL"", ""Neo4j"", ""Flyway""]";Medium;"[""Implement queries"", ""Design schema"", ""Document and test"", ""Analyze data requirements""]"
Implement rollback strategy for deployments;devops;"[""Jenkins"", ""Helm"", ""Bash"", ""Prometheus""]";Hard;"[""Plan infrastructure"", ""Test in staging environment"", ""Write configuration scripts"", ""Monitor and validate"", ""Deploy to production""]"
Perform customer segmentation with clustering;data science;"[""Power BI"", ""R"", ""Matplotlib"", ""Python""]";Hard;"[""Perform exploratory analysis"", ""Build statistical model"", ""Collect and validate data"", ""Present findings to stakeholders"", ""Create visualizations""]"
Set up container registry with Harbor;devops;"[""Linux"", ""Terraform"", ""Ansible""]";Medium;"[""Write configuration scripts"", ""Deploy to production"", ""Monitor and validate"", ""Plan infrastructure""]"
Write code style guide for development team;documentation;"[""ReadTheDocs"", ""LaTeX"", ""Diagram tools""]";Medium;"[""Draft content"", ""Publish documentation"", ""Review with stakeholders"", ""Gather information""]"
Set up feature toggles for gradual rollout;deployment;"[""Jenkins"", ""Nginx"", ""Shell Scripting""]";Medium;"[""Deploy to target"", ""Build and package application"", ""Run health checks"", ""Monitor deployment""]"
Set up Redis cache invalidation strategy;database;"[""Snowflake"", ""Cassandra"", ""SQLite""]";Medium;"[""Implement queries"", ""Analyze data requirements"", ""Design schema"", ""Optimize performance""]"
Build file upload service with S3;backend;"[""Docker"", ""Redis""]";Easy;"[""Code review and documentation"", ""Write unit tests"", ""Set up database schema""]"
Define metrics and KPIs for project success;project management;"[""Trello"", ""Agile"", ""Stakeholder Management""]";Medium;"[""Monitor progress"", ""Report to stakeholders"", ""Create project plan"", ""Assign tasks and resources""]"
Implement infrastructure as code with Terraform;devops;"[""Helm"", ""Kubernetes""]";Easy;"[""Test in staging environment"", ""Write configuration scripts"", ""Monitor and validate""]"
Build financial risk assessment model;data science;"[""Power BI"", ""Matplotlib"", ""Python""]";Medium;"[""Present findings to stakeholders"", ""Create visualizations"", ""Build statistical model"", ""Collect and validate data""]"
Build language translation model;ai/ml;"[""PyTorch"", ""Pandas""]";Easy;"[""Train and tune model"", ""Design model architecture"", ""Evaluate performance metrics""]"
Implement database versioning strategy;database;"[""PostgreSQL"", ""SQLite""]";Easy;"[""Design schema"", ""Document and test"", ""Analyze data requirements""]"
Set up artifact management with Nexus;devops;"[""Git"", ""Helm"", ""Kubernetes"", ""AWS""]";Hard;"[""Write configuration scripts"", ""Deploy to production"", ""Plan infrastructure"", ""Test in staging environment"", ""Monitor and validate""]"
Set up artifact versioning for releases;deployment;"[""Ansible"", ""Shell Scripting"", ""Git""]";Medium;"[""Run health checks"", ""Monitor deployment"", ""Build and package application"", ""Configure environment""]"
Conduct tree testing for information architecture;ui/ux design;"[""CSS"", ""UX Writing""]";Easy;"[""Create wireframes"", ""Conduct usability testing"", ""Design high-fidelity mockups""]"
Build REST API for user management;backend;"[""GraphQL"", ""Spring Boot"", ""PostgreSQL""]";Medium;"[""Code review and documentation"", ""Implement business logic"", ""Set up database schema"", ""Write unit tests""]"
Set up container registry with Harbor;devops;"[""Jenkins"", ""Bash"", ""Helm"", ""CI/CD""]";Hard;"[""Deploy to production"", ""Plan infrastructure"", ""Write configuration scripts"", ""Monitor and validate"", ""Test in staging environment""]"
Set up artifact management with Nexus;devops;"[""Jenkins"", ""Kubernetes"", ""AWS"", ""Grafana""]";Hard;"[""Write configuration scripts"", ""Deploy to production"", ""Monitor and validate"", ""Test in staging environment"", ""Plan infrastructure""]"
Set up automated deployment with Jenkins;deployment;"[""Shell Scripting"", ""Git"", ""Linux""]";Medium;"[""Deploy to target"", ""Build and package application"", ""Configure environment"", ""Monitor deployment""]"
Implement form validation with error messages;frontend;"[""Storybook"", ""Redux""]";Easy;"[""Build UI components"", ""Add responsive design"", ""Create wireframes""]"
Document deployment process step by step;documentation;"[""Markdown"", ""Notion"", ""Swagger""]";Medium;"[""Maintain and update"", ""Draft content"", ""Publish documentation"", ""Gather information""]"
Configure deployment pipeline for multiple environments;deployment;"[""Terraform"", ""Helm"", ""Git"", ""Heroku""]";Hard;"[""Monitor deployment"", ""Configure environment"", ""Deploy to target"", ""Build and package application"", ""Run health checks""]"
Configure Kubernetes cluster with Helm charts;devops;"[""Helm"", ""Ansible"", ""Prometheus"", ""Istio""]";Hard;"[""Monitor and validate"", ""Write configuration scripts"", ""Deploy to production"", ""Plan infrastructure"", ""Test in staging environment""]"
Create integration guide for third-party API;documentation;"[""ReadTheDocs"", ""Technical Writing"", ""Diagram tools""]";Medium;"[""Draft content"", ""Review with stakeholders"", ""Maintain and update"", ""Gather information""]"
Build WebSocket server for real-time chat;backend;"[""REST API"", ""MongoDB""]";Easy;"[""Set up database schema"", ""Implement business logic"", ""Code review and documentation""]"
Implement session management system;backend;"[""Go"", ""Spring Boot"", ""Node.js""]";Medium;"[""Write unit tests"", ""Design API endpoints"", ""Set up database schema"", ""Code review and documentation""]"
Design cloud-native logging architecture;cloud;"[""GCP"", ""IAM"", ""CDN""]";Medium;"[""Design architecture"", ""Monitor and optimize costs"", ""Implement security controls"", ""Assess requirements""]"
Create data quality validation pipeline;data science;"[""SQL"", ""R"", ""Prophet""]";Medium;"[""Collect and validate data"", ""Present findings to stakeholders"", ""Create visualizations"", ""Perform exploratory analysis""]"
Conduct project post-mortem analysis;project management;"[""PMP"", ""Kanban"", ""Stakeholder Management"", ""Risk Management""]";Hard;"[""Create project plan"", ""Report to stakeholders"", ""Assign tasks and resources"", ""Define scope and objectives"", ""Monitor progress""]"
Create speech-to-text transcription system;ai/ml;"[""OpenCV"", ""Pandas"", ""BERT"", ""NLP""]";Hard;"[""Deploy model to production"", ""Evaluate performance metrics"", ""Train and tune model"", ""Prepare and clean data"", ""Design model architecture""]"
Create release notes for product update;documentation;"[""JIRA"", ""Git"", ""ReadTheDocs""]";Medium;"[""Gather information"", ""Maintain and update"", ""Review with stakeholders"", ""Draft content""]"
Create project status report for executives;project management;"[""OKRs"", ""Risk Management"", ""Kanban""]";Medium;"[""Assign tasks and resources"", ""Report to stakeholders"", ""Create project plan"", ""Define scope and objectives""]"
Create animated onboarding tour;frontend;"[""React"", ""GraphQL"", ""Angular""]";Medium;"[""Cross-browser testing"", ""Integrate with APIs"", ""Add responsive design"", ""Create wireframes""]"
Configure network policies in Kubernetes;devops;"[""Grafana"", ""Jenkins""]";Easy;"[""Test in staging environment"", ""Plan infrastructure"", ""Monitor and validate""]"
Set up CDN with CloudFront for static assets;cloud;"[""EKS"", ""Azure"", ""AWS""]";Medium;"[""Design architecture"", ""Monitor and optimize costs"", ""Configure cloud resources"", ""Assess requirements""]"
Define release criteria and go-live checklist;project management;"[""Stakeholder Management"", ""Budgeting"", ""Lean"", ""Roadmapping""]";Hard;"[""Report to stakeholders"", ""Define scope and objectives"", ""Assign tasks and resources"", ""Monitor progress"", ""Create project plan""]"
Write technical runbook for operations team;documentation;"[""Git"", ""Asciidoc""]";Easy;"[""Maintain and update"", ""Publish documentation"", ""Review with stakeholders""]"
Implement session management system;backend;"[""Django"", ""PostgreSQL"", ""Go"", ""Kafka""]";Hard;"[""Code review and documentation"", ""Design API endpoints"", ""Set up database schema"", ""Write unit tests"", ""Implement business logic""]"
Set up deployment rollback mechanism;deployment;"[""Ansible"", ""Docker"", ""Shell Scripting""]";Medium;"[""Build and package application"", ""Run health checks"", ""Configure environment"", ""Deploy to target""]"
Create drag-and-drop Kanban board;frontend;"[""Redux"", ""Vue.js""]";Easy;"[""Create wireframes"", ""Integrate with APIs"", ""Cross-browser testing""]"
Configure database resource governor;database administration;"[""SQL"", ""PostgreSQL"", ""Backup & Recovery""]";Medium;"[""Plan changes"", ""Apply to production"", ""Assess current state"", ""Test thoroughly""]"
Document authentication and authorization flow;documentation;"[""ReadTheDocs"", ""Markdown"", ""Draw.io"", ""Swagger""]";Hard;"[""Publish documentation"", ""Gather information"", ""Maintain and update"", ""Draft content"", ""Review with stakeholders""]"
Create visual regression tests with Percy;testing;"[""SonarQube"", ""Jest"", ""Pact"", ""JUnit""]";Hard;"[""Set up test environment"", ""Report and track bugs"", ""Define test strategy"", ""Execute tests"", ""Write test cases""]"
Create drag-and-drop Kanban board;frontend;"[""Webpack"", ""Angular"", ""TypeScript""]";Medium;"[""Integrate with APIs"", ""Build UI components"", ""Create wireframes"", ""Add responsive design""]"
Manage budget tracking and cost reporting;project management;"[""Stakeholder Management"", ""Budgeting""]";Easy;"[""Monitor progress"", ""Report to stakeholders"", ""Assign tasks and resources""]"
Design event sourcing schema;database;"[""Neo4j"", ""MySQL"", ""PostgreSQL""]";Medium;"[""Document and test"", ""Implement queries"", ""Design schema"", ""Optimize performance""]"
Manage scope creep and change requests;project management;"[""Confluence"", ""Scrum"", ""Budgeting"", ""Stakeholder Management""]";Hard;"[""Define scope and objectives"", ""Assign tasks and resources"", ""Report to stakeholders"", ""Monitor progress"", ""Create project plan""]"
Configure resource quotas and limits;devops;"[""Git"", ""Helm"", ""AWS"", ""Docker""]";Hard;"[""Write configuration scripts"", ""Test in staging environment"", ""Monitor and validate"", ""Deploy to production"", ""Plan infrastructure""]"
Analyze customer purchase behavior patterns;data science;"[""Python"", ""Power BI"", ""Scikit-learn"", ""R""]";Hard;"[""Build statistical model"", ""Present findings to stakeholders"", ""Create visualizations"", ""Collect and validate data"", ""Perform exploratory analysis""]"
Configure Nginx reverse proxy for deployment;deployment;"[""Git"", ""Docker""]";Easy;"[""Monitor deployment"", ""Run health checks"", ""Deploy to target""]"
Monitor and tune database performance metrics;database administration;"[""Encryption"", ""Backup & Recovery"", ""Performance Tuning"", ""Clustering""]";Hard;"[""Plan changes"", ""Assess current state"", ""Test thoroughly"", ""Apply to production"", ""Implement in staging""]"
Create project roadmap for Q3 deliverables;project management;"[""MS Project"", ""Miro"", ""Agile""]";Medium;"[""Report to stakeholders"", ""Define scope and objectives"", ""Monitor progress"", ""Assign tasks and resources""]"
Create image carousel with lazy loading;frontend;"[""Webpack"", ""JavaScript"", ""Next.js"", ""SASS""]";Hard;"[""Add responsive design"", ""Create wireframes"", ""Cross-browser testing"", ""Build UI components"", ""Integrate with APIs""]"
Create database migration scripts with Flyway;database;"[""DynamoDB"", ""MySQL"", ""InfluxDB""]";Medium;"[""Design schema"", ""Implement queries"", ""Analyze data requirements"", ""Optimize performance""]"
Implement internationalization for multi-language support;frontend;"[""TypeScript"", ""CSS""]";Easy;"[""Add responsive design"", ""Build UI components"", ""Integrate with APIs""]"
Perform database version upgrade with zero downtime;database administration;"[""Encryption"", ""Oracle"", ""Backup & Recovery""]";Medium;"[""Plan changes"", ""Apply to production"", ""Assess current state"", ""Test thoroughly""]"
Create background job processing queue;backend;"[""Node.js"", ""Spring Boot"", ""Django"", ""Python""]";Hard;"[""Set up database schema"", ""Design API endpoints"", ""Write unit tests"", ""Code review and documentation"", ""Implement business logic""]"
Create dependency map between project teams;project management;"[""Agile"", ""Risk Management""]";Easy;"[""Create project plan"", ""Assign tasks and resources"", ""Report to stakeholders""]"
Design search experience with filters and results;ui/ux design;"[""Figma"", ""Prototyping"", ""Adobe XD"", ""Zeplin""]";Hard;"[""Create wireframes"", ""Build prototype"", ""Conduct usability testing"", ""Design high-fidelity mockups"", ""Conduct user research""]"
Implement cloud security compliance framework;cloud;"[""Lambda"", ""CloudFormation"", ""VPC"", ""GCP""]";Hard;"[""Monitor and optimize costs"", ""Configure cloud resources"", ""Implement security controls"", ""Assess requirements"", ""Design architecture""]"
Configure database security and user permissions;database administration;"[""Oracle"", ""Cassandra"", ""Encryption""]";Medium;"[""Apply to production"", ""Assess current state"", ""Plan changes"", ""Test thoroughly""]"
Set up database managed service on RDS;cloud;"[""RDS"", ""Lambda"", ""GCP""]";Medium;"[""Assess requirements"", ""Configure cloud resources"", ""Design architecture"", ""Monitor and optimize costs""]"
Conduct usability testing sessions with users;ui/ux design;"[""CSS"", ""Zeplin"", ""Design Systems""]";Medium;"[""Create wireframes"", ""Build prototype"", ""Design high-fidelity mockups"", ""Conduct user research""]"
Create visual regression tests with Percy;testing;"[""Postman"", ""SonarQube"", ""Cucumber"", ""Jest""]";Hard;"[""Set up test environment"", ""Report and track bugs"", ""Execute tests"", ""Define test strategy"", ""Write test cases""]"
